NEWID,FAM_SIZE,NUM_AUTO,FINCBTXM,TOTEXP,ALCBEV,FOOD,FDHOME,FDMAP,FDAWAY,MAJAPP,TENTRM,EDUCA,ELCTRC
4384614,4,1,30000.0,30003.0,0.0,5980.0,3380.0,0.0,2600.0,0.0,0.0,0.0,1512.0
4384654,3,0,106909.2,46462.2004,0.0,10400.0,5200.0,0.0,5200.0,0.0,0.0,0.0,3600.0
4384704,1,0,25537.0,17180.0,0.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,516.0
4384724,2,0,275098.6,138803.7976,0.0,13000.0,10400.0,0.0,2600.0,0.0,0.0,52000.0,1596.0
4384734,2,0,29798.8,17127.2,0.0,5980.0,5980.0,0.0,0.0,0.0,0.0,0.0,800.0
4384774,1,3,243265.8,83969.72,360.0,3900.0,3380.0,0.0,520.0,0.0,0.0,0.0,588.0
4384784,2,2,245189.0,219144.7972,2400.0,20800.0,15600.0,0.0,5200.0,0.0,360.0,73200.0,0.0
4384794,2,0,69990.0,34350.0,420.0,5616.0,5200.0,0.0,416.0,0.0,0.0,0.0,780.0
4384814,1,1,26143.0,35975.8,996.0,4812.0,3252.0,0.0,1560.0,0.0,80.0,0.0,1072.0
4384844,5,1,130586.4,109968.0004,840.0,12480.0,10400.0,0.0,2080.0,4000.0,0.0,0.0,1844.0
4384854,4,1,163107.6,105170.0008,2684.0,13024.0,10400.0,0.0,2624.0,0.0,0.0,0.0,1320.0
4384874,2,0,206968.0,40224.3976,240.0,2756.0,2756.0,0.0,0.0,0.0,0.0,0.0,0.0
4384894,5,3,64800.0,60560.0,420.0,15600.0,15600.0,0.0,0.0,0.0,0.0,0.0,2100.0
4384904,3,4,84000.0,63800.9996,120.0,6760.0,5200.0,0.0,1560.0,0.0,0.0,0.0,1248.0
4384944,4,0,141010.0,76385.0008,1200.0,13676.0,8476.0,0.0,5200.0,2400.0,0.0,600.0,3000.0
4384984,1,0,30000.0,45218.0,960.0,11700.0,11700.0,0.0,0.0,0.0,0.0,0.0,936.0
4385134,1,1,140574.0,70511.5996,780.0,3380.0,2080.0,0.0,1300.0,0.0,0.0,0.0,1280.0
4385154,2,1,74764.0,61698.0,0.0,10140.0,10140.0,0.0,0.0,0.0,0.0,0.0,1204.0
4385194,3,2,217132.2,62963.0004,180.0,5720.0,4420.0,0.0,1300.0,0.0,0.0,0.0,2440.0
